Product_Name,price,Stars,Reviews,Ratings,Specifications
"OPPO A53 (Mint Cream, 128 GB)",₹13990,4.4,"1,130 Reviews","20,067 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP + 2MP + 2MP , 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 460 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
"realme 8 5G (Supersonic Blue, 128 GB)",₹16999,4.3,"1,354 Reviews","15,966 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 700 (MT6833) Processor1 Year Warranty for Mobile and 6 Months for Accessories"
"realme 8 5G (Supersonic Black, 128 GB)",₹16999,4.3,"1,354 Reviews","15,966 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 700 (MT6833) Processor1 Year Warranty for Mobile and 6 Months for Accessories"
"realme 8 5G (Supersonic Black, 64 GB)",₹13999,4.3,"1,499 Reviews","19,505 Ratings","4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 700 (MT6833) Processor1 Year Warranty for Mobile and 6 Months for Accessories"
"realme 8 5G (Supersonic Blue, 64 GB)",₹13999,4.3,"1,499 Reviews","19,505 Ratings","4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 700 (MT6833) Processor1 Year Warranty for Mobile and 6 Months for Accessories"
"Infinix Note 10 Pro (95° Black, 256 GB)",₹16999,4.3,61 Reviews,416 Ratings,"8 GB RAM , 256 GB ROM , Expandable Upto 256 GB17.65 cm (6.95 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP , 16MP Front Camera5000 mAh Li-ion Polymer BatteryMediaTek Helio G95 Processor33W Charger , 90Hz Refresh Rate1 Year on Handset and 6 Months on Accessories"
"Infinix Note 10 Pro (Nordic Secret, 256 GB)",₹16999,4.3,61 Reviews,416 Ratings,"8 GB RAM , 256 GB ROM , Expandable Upto 256 GB17.65 cm (6.95 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP , 16MP Front Camera5000 mAh Li-ion Polymer BatteryMediaTek Helio G95 Processor33W Charger , 90Hz Refresh Rate1 Year on Handset and 6 Months on Accessories"
"realme 8 (Cyber Black, 128 GB)",₹16999,4.3,"1,240 Reviews","13,618 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Helio G95 ProcessorSuper AMOLED Display1 Year Warranty for Mobile and 6 Months for Accessories"
"POCO M3 Pro 5G (Cool Blue, 64 GB)",₹13999,4.3,314 Reviews,"4,396 Ratings","4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP , 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 700 ProcessorOne Year Warranty for Handset, 6 Months for Accessories"
"realme Narzo 30 Pro 5G (Sword Black, 64 GB)",₹15999,4.3,"1,943 Reviews","25,851 Ratings","6 GB RAM , 64 GB ROM , Expandable Upto 256 GB16.51 cm (6.5 inch) Full HD+ Display48MP + 8MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 800U Processor1 Year Warranty for Mobile and 6 Months for Accessories"
"POCO X3 Pro (Steel Blue, 128 GB)",₹18999,4.4,"2,520 Reviews","27,936 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP , 20MP Front Camera5160 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 860 ProcessorMultiple Hands-free Voice AssistantsOne Year Warranty for Handset, 6 Months for Accessories"
"realme 8 (Cyber Silver, 128 GB)",₹15999,4.3,"1,988 Reviews","22,090 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Helio G95 ProcessorSuper AMOLED Display1 Year Warranty for Mobile and 6 Months for Accessories"
"realme 8 (Cyber Black, 128 GB)",₹15999,4.3,"1,988 Reviews","22,090 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Helio G95 ProcessorSuper AMOLED Display1 Year Warranty for Mobile and 6 Months for Accessories"
"MOTOROLA G60 (Dynamic Gray, 128 GB)",₹17999,4.2,"1,352 Reviews","12,872 Ratings","6 GB RAM , 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP + 8MP + 2MP , 32MP Front Camera6000 mAh BatteryQualcomm Snapdragon 732G Processor120Hz Refresh RateStock Android Experience1 Year on Handset and 6 Months on Accessories"
"OPPO A53s 5G (Crystal Blue, 128 GB)",₹15990,4.3,791 Reviews,"10,502 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP + 2MP + 2MP , 8MP Front Camera5000 mAh BatteryMediaTek Dimensity 700 ProcessorDual-Mode 5G , Ultra Clear Eye Care Display , Side Fingerprint UnlockBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
"OPPO A53s 5G (Ink Black, 128 GB)",₹15990,4.3,791 Reviews,"10,502 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP + 2MP + 2MP , 8MP Front Camera5000 mAh BatteryMediaTek Dimensity 700 ProcessorDual-Mode 5G , Ultra Clear Eye Care Display , Side Fingerprint UnlockBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
"POCO X3 Pro (Graphite Black, 128 GB)",₹18999,4.4,"2,520 Reviews","27,936 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP , 20MP Front Camera5160 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 860 ProcessorMultiple Hands-free Voice AssistantsOne Year Warranty for Handset, 6 Months for Accessories"
"POCO X3 (Shadow Gray, 128 GB)",₹16999,4.3,"20,951 Reviews","2,16,180 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 2MP + 2MP , 20MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 732G Processor1 Year for Handset and 6 Months for Accessories"
"POCO M3 Pro 5G (Cool Blue, 128 GB)",₹15999,4.2,241 Reviews,"2,815 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP , 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 700 ProcessorOne Year Warranty for Handset, 6 Months for Accessories"
"MOTOROLA G40 Fusion (Dynamic Gray, 128 GB)",₹16499,4.3,576 Reviews,"4,979 Ratings","6 GB RAM , 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 8MP + 2MP , 16MP Front Camera6000 mAh BatteryQualcomm Snapdragon 732G Processor120Hz Refresh RateStock Android Experience1 Year on Handset and 6 Months on Accessories"
"realme 8 (Cyber Silver, 128 GB)",₹16999,4.3,"1,240 Reviews","13,618 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Helio G95 ProcessorSuper AMOLED Display1 Year Warranty for Mobile and 6 Months for Accessories"
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)",₹15999,4.3,"1,943 Reviews","25,851 Ratings","6 GB RAM , 64 GB ROM , Expandable Upto 256 GB16.51 cm (6.5 inch) Full HD+ Display48MP + 8MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 800U Processor1 Year Warranty for Mobile and 6 Months for Accessories"
"OPPO A53s 5G (Crystal Blue, 128 GB)",₹17990,4.3,163 Reviews,"1,952 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP + 2MP + 2MP , 8MP Front Camera5000 mAh BatteryMediaTek Dimensity 700 ProcessorDual-Mode 5G , Ultra Clear Eye Care Display , Side Fingerprint UnlockBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
"ViVO Y20G (Obsidian Black, 128 GB)",₹14990,4.3,168 Reviews,"2,856 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.54 cm (6.51 inch) HD+ Display13MP + 2MP + 2MP , 8MP Front Camera5000 mAh Li-ion BatteryMediaTek Helio G80 Processor1 Year for Handset and 6 Months for In-box Accessories"
"OPPO F19 (Space Silver, 128 GB)",₹18990,4.2,85 Reviews,"1,307 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.33 cm (6.43 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 662 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories"
"ViVO Y20G (Obsidian Black, 64 GB)",₹12990,4.3,236 Reviews,"4,037 Ratings","4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.54 cm (6.51 inch) HD+ Display13MP + 2MP + 2MP , 8MP Front Camera5000 mAh Li-ion BatteryMediaTek Helio G80 Processor1 Year for Handset and 6 Months for In-box Accessories"
"SAMSUNG Galaxy A31 (Prism Crush Blue, 128 GB)",₹16999,4.3,925 Reviews,"10,392 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display48MP + 8MP + 5MP + 5MP , 20MP Front Camera5000 mAh Lithium-ion BatteryMediaTek (MT6768) Octa Core ProcessorSuper AMOLED Display1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
"REDMI Note 10S (Deep Sea Blue, 128 GB)",₹16992,4.2,14 Reviews,245 Ratings,"6 GB RAM , 128 GB ROM16.33 cm (6.43 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP , 13MP Front Camera5000 mAh BatteryMediaTek Helio G95 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories"
"ViVO Y51A (Crystal Symphony, 128 GB)",₹17990,4.3,379 Reviews,"5,597 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display48MP + 8MP + 2MP , 16MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 662 Processor1 Year for Handset and 6 Months for In-box Accessories"
"ViVO Y51A (Titanium Sapphire, 128 GB)",₹17990,4.3,379 Reviews,"5,597 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display48MP + 8MP + 2MP , 16MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 662 Processor1 Year for Handset and 6 Months for In-box Accessories"
"realme Narzo 30 5G (Racing Silver, 128 GB)",₹15999,No Stars,['0 Reviews'],['0 Ratings'],"6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 700 (MT6833) Processor1 Year Warranty for Mobile and 6 Months for Accessories"
"realme Narzo 30 5G (Racing Blue, 128 GB)",₹15999,No Stars,['0 Reviews'],['0 Ratings'],"6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh BatteryMediaTek Dimensity 700 (MT6833) Processor1 Year Warranty for Mobile and 6 Months for Accessories"
"ViVO Y20G (Purist Blue, 64 GB)",₹12990,4.3,236 Reviews,"4,037 Ratings","4 GB RAM , 64 GB ROM , Expandable Upto 1 TB16.54 cm (6.51 inch) HD+ Display13MP + 2MP + 2MP , 8MP Front Camera5000 mAh Li-ion BatteryMediaTek Helio G80 Processor1 Year for Handset and 6 Months for In-box Accessories"
"ViVO Y20G (Purist Blue, 128 GB)",₹14990,4.3,170 Reviews,"2,862 Ratings","6 GB RAM , 128 GB ROM16.54 cm (6.51 inch) Display13MP Rear Camera5000 mAh Battery1 year"
"ViVO Y31 (Racing Black, 128 GB)",₹16490,4.4,364 Reviews,"5,494 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 662 Processor1 Year for Handset and 6 Months for In-box Accessories"
"ViVO Y31 (Ocean Blue, 128 GB)",₹16490,4.4,364 Reviews,"5,494 Ratings","6 GB RAM , 128 GB ROM , Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display48MP + 2MP + 2MP , 16MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 662 Processor1 Year for Handset and 6 Months for In-box Accessories"
"realme 8 Pro (Infinite Blue, 128 GB)",₹19999,4.3,"1,088 Reviews","13,175 Ratings","8 GB RAM , 128 GB ROM , Expandable Upto 256 GB16.26 cm (6.4 inch) Full HD+ Display108MP + 8MP + 2MP + 2MP , 16MP Front Camera4500 mAh BatteryQualcomm Snapdragon 720G ProcessorSuper AMOLED Display1 Year Warranty for Mobile and 6 Months for Accessories"
